"ALTITUDE","MEAN_ANNUAL_AIR_TEMP","MEAN_MONTHLY_MAX_TEMP","MEAN_MONTHLY_MIN_TEMP","MEAN_ANNUAL_WIND_SPEED","MEAN_CLOUD_COVER","MEAN_ANNUAL_SUNSHINE","MEAN_ANNUAL_RAINFALL","MAX_MONTHLY_WIND_SPEED","MAX_AIR_TEMP","MAX_WIND_SPEED","MAX_RAINFALL","MIN_AIR_TEMP","MEAN_RANGE_AIR_TEMP"
101,10.3,13.9,6.7,3,66,1396,798,4,32.7,29.1,38,-10.7,7.2
45,8.7,12.9,5.1,3,68,1539,656,3,32.3,28.1,33,-13.5,7.8
15,8.7,11.8,5.6,3,66,1738,580,4,30.4,31.9,33,-12.1,6.2
62,9.9,14.1,6,2,71,1437,659,3,32.1,24,36,-11.9,8.1
240,8.6,12.5,4.5,2,71,680.888702407014,714,3,31.6,15.161759124673,33,-15.6,8
12,9,11.4,6.8,4,66,1593,735,5,28,36.1,34,-7.6,4.7
9,8.5,12.6,4.7,2,72,1491,883,3,31.6,6.72690730676986,37,-15.1,8
35,8.7,13.1,4.7,2,66,281.413004332222,550,3,34.1,24.8,30,-15.9,8.5
607,6.2,9.8,2.8,2,70,1441,1236,3,28.6,26.4,54,-15.8,6.9
75,8.9,13,5.3,3,64,1616,653,4,32.6,23.7925807594555,32,-14,7.8
81,9.3,13.1,5.5,3,67,1583,622,3,32.6,27.5,34,-13.8,7.6
4,9,12.8,5.2,3,67,1532,674,4,31.6,29.5,32,-13,7.6
7,9.2,12.3,6.2,3,68,1547,736,4,30.9,31.5,33,-10.2,6.1
5,8.2,12.3,4.2,2,68,1469,758,3,31.6,25.3,33,-15.9,8.1
234,10.6,15.3,6.2,2,64,1587,697,3,34.3,27.4,38,-12.4,9.1
181,9.2,14.6,5,2,67,1739,780,2,33.9,7.07887914900202,43,-14.6,9.6
443,7.4,11.2,3.9,3,68,256.235993126873,1066,4,30.2,15.2072648624424,43,-14.6,7.2
1134,2.9,5.6,0.4,6,79,1399,1626,7,23.9,52.4,63,-16.5,5.1
290,8.7,13.1,4.5,2,74,430.180947588757,870,3,32,6.55877000961918,40,-15.5,8.6
600,5.9,10.2,1.6,2,69,860.166683166754,1066,3,29.5,37.649242997705,42,-19.6,8.5
390,7.5,12.1,3.1,2,68,490.985494114459,913,2,30.6,18.8359600222437,43,-16.3,9
340,8.1,12.8,3.6,2,67,1577,766,2,32.3,8.88643990638666,37,-16.7,9.2
68,10.2,13.6,6.2,3,68,1362,678,3,33,29,39,-13.1,7.4
190,9.5,14.8,6,2,65,1583.54996252293,1223,3,33.6,7.43115690951236,56,-12.3,8.8
290,8.3,13.2,3.7,2,63,84.6043336791918,698,2,33.4,48.2622487236047,36,-17.7,9.5
293,7.9,12.5,3.6,2,70,816.301336982753,720,2,31.7,41.8894938047277,38,-17,8.9
38,8.7,12.8,4.3,3,68,1282,699,3,31.9,45.0385973242344,33,-16.2,8.5
39,9.9,13.4,5.5,2,69,1494,655,3,32.8,26.5,34,-13.8,7.9
389,7.9,12.2,3.9,2,67,1604,696,2,31.7,53.3980888704071,36,-16.8,8.3
418,8.1,12.2,4.3,3,67,1542,741,4,31.5,31.4,42,-16.4,7.9
585,6.2,9.4,2.9,3,69,1330,1318,3,28.2,9.03178207071032,50,-16.1,6.4
344,8,12.6,3.8,2,67,1538,695,2,33,23.5,35,-16.3,8.8
314,8,11.4,5.2,4,67,1480,527.855267354753,5,31,38.4,63.7159023098648,-15.1,6.3
68,8.6,12.9961531659588,6.48112182803452,2,68,1474.81526505761,1058.19598855753,3,22.4772062302567,8.80161238224246,68.0865658405237,-7.54298612673301,0
69,8.9,13.2,4.7,2,65,1652,571,3,33.5,27.1,38,-16.7,8.6
423,8.3,12.8,4,2,67,1083,798,2,32.6,44.140996364248,38,-17.8,8.8
269,8,12.3,3.8,3,61,1587,612,3,33,43.4210509598022,38,-17.5,8.4
5,9.1,12,6.5,3,68,1667,810,4,30,32.7,33,-9.7,5.3
169,9.3,13.7,5.2,1,62,225.026033914182,702,2,32.8,4.27621020744555,35,-15,8.6
60,8.9,13.3,4.6,3.75717507232912,77.9535839303862,1035.50997801824,536,2.18646842008457,34.3,43.142827080749,48.3539996154141,-12.4,8.7
480,7.8,12.1,4.6,3,70,1567,760,4,30.7,29.2,37,-12.6,7.1
39,9.3,13.2,5,3,63,1226,688,3,32.2,27.3,32,-14,8.2
100,8.8,13.4,4.5,2,67,381.256945231929,562,3,33.5,40.6342279219069,37,-16.8,8.8
314,8.5,13.3,3.8,1,72,1397,797,2,32.3,35.6216585670598,36,-15.7,9.5
420,8.4,13.2,4.2,2,65,235.423426349182,746,2,32.6,28.0859969133278,37,-16.3,8.8
365,7.8,12.3,3.5,2,67,1390.60631750291,768,3,32.2,11.71016099439,44,-18.6,8.9
97,8.9,13.6,4.5,3,67,1605,564,3,33.5,27.2,36,-17.4,9.1
201,8.1,13.3,4.2,2,61,1652.25373299699,1186.18249338749,3,33.6,4.21488375153858,62.2112148876768,-18.3,8.6
15,8.3,12.7,3.9,3.28307367651723,76.4594042694662,691.258284285665,580,5.99156537698582,30.9,26.6491489083972,35,-14.2,8.8
677,6.7,11.6,1.8,1,65,1593,774,2,30.3,28.6608131016372,40,-19.8,9.8
120,9.5,13.4,5.8,2,69,1357,802,3,32.1,23.4741491326829,36,-12.5,7.7
112,9.5,12.8,5.5,2,66,1227.80264928332,653,3,31.3,27.2656300656497,48,-14.2,7.2
227,8.9,13,5.3,3,68,1548,648,3,32.9,28.3,41,-15.4,7.6
114,9.4,14.1,5.2,2,68,1465,651,3,33.8,39.8205895361723,41,-15.8,8.8
119,9.3,14,5.2,2,65,1452,643,2,34.1,6.59274727974553,45,-15.7,8.9
107,10.3,14.7,5.7,2,62,175.075860065874,543,2,33.9,21.7165464245016,33,-13,9
115,10.1,15.6,6.1,2,66,708.807951375376,564,3,34.7,44.3420197822386,40,-11.6,9.5
103,8.5,13.2,5,2,63,506.512207882479,500,3,32.3,46.0032962697558,35,-15.5,8.2
37,10.6,14.7,6.5,3,65,1534,745,3,33.9,28.5,33,-11.5,8.1
37,10.4,14.3,6.5,2,65,1397,740,2,33,15.8063449511072,35,-10.5,7.8
21,10.7,14.5,7.1,2,69,1503.82551177172,812,3,33.1,21.6762981824111,39,-9.3,7.1
131,9.3,14.4,5.1,1,70,827.961166209541,1010,1,33.2,47.0727137180045,43,-14.2,9.3
592,8.3,12.9,4.4,2,62,1495.37879572809,1039,2,32,18,49,-15.3,8.5
45,8.2,13.9,5,5.78416672674939,71.9344783416018,1499.67103457311,568,1.91732333693653,34.2,46.915050376975,25,-15.6,8.9
346,8.1,13,3.5,1,65,1466.3559247707,803,2,32.8,18.7427204979584,37,-17.2,9.5
384,8.2,13.1,3.6,2,68,811.929295315407,732,2,32.6,11.2259403912583,35,-17.2,9.5
123,8.8,13.1,4.6,2,73,1330,660,2,32.1,39.3515990965068,34,-17.4,8.5
146,8.5,12.8,4.3,2,66,1442,489,3,32.3,9.04223775498103,32,-16,8.5
518,6.7,10.7,3.3,2,69,1671,730,3,30.9,5.50325253647752,37,-16.4,7.4
460,8,13.1,3.4,1,64,1566,829,2,32.8,54.2699286612449,39,-17.7,9.7
85,10,14.3,5.8,2,64,1467,704,3,32.8,5.56117760629859,35,-12.4,8.5
1,8.5,12.3,4.7,2,66,1512,716,3,30.6,20.8887598298723,34,-13.4,7.6
560,6.6,11.4,2.5,2,71,1358,764,2,31.5,50.0107199628372,39,-19.4,8.9
5,8.7,12.1,5.5,3,68,1497,739,4,30.6,31.8,31,-10.1,6.6
201,10.1,15.2,5.4,1,67,1392.76114284806,861,2,33.9,34.9703811163316,42,-13.6,9.8
90,9.6,14,5.5,1,72,1161.54220885877,733,2,32.7,18.2574101094622,34,-12.9,8.4
144,8.9,13.6,4.5,2,69,1332,1174,2,31.9,41.0587688519852,44,-14.4,9.1
705,6.5,11.4,2.7,2,66,1606,940,3,30.2,45.9197426134022,53,-19.1,8.8
210,9.6,14,5.5,2,63,1310.99671289511,762,2,33,19.6706744113006,41,-14.9,8.6
18,8.5,12.2,5.1,2,66,1583,820,3,30.7,28.6746106650215,35,-12.3,7.1
316,8.2,12.5,4,3,67,1635,533,3,32.4,27.4,36,-16.4,8.4
268,8.8,13.7,4.4,2,66,1560,675,2,33.6,39.0173751940718,39,-16,9.2
470,7.6,11.9,3.5,2,65,1.15333155868575,737,2,31.7,36.1938488764688,36,-17.3,8.4
156,9,13.3,4.7,1,69,1368,616,2,32.8,36.3181072066771,36,-15.6,8.6
351,7.7,12.4,3.2,2,68,877.434395785909,1102,3,31.2,53.1815969435964,42,-18.3,9.2
150,9.7,13.3,6.3,3,69,1499,914,3,31.9,28,37,-10.5,7
146,9.8,14.1,5.7,2,67,1479,587,3,33.3,24.7441343902145,34,-13.4,8.4
50,8.1,11.8,4.7,3,67,406.339462007862,729,4,30.7,9.82994138898794,34,-13.1,7.1
472,8.6,12.6,4.6,2,62,701.141328636557,820,3,32.2,30.3644978367491,43,-14.7,8
1490,3.5,6.3,1,4,70,1646,1774,6,23.5,47,65,-16.9,5.4
654,6.1,10.2,2.7,2,68,1131.17527204426,1123,3,29.7,21.5,46,-16.3,7.5
1213,3.1,6.2,0.4,5,74,1462,1126,6,25.1,41.1,47,-18,5.8
41,8.1,11.3,4.6,3,66,1544,778,3,28.7,29.6,37,-14.8,6.8
745,5.6,9.2,2.2,2,65,649.418940462638,939,3,28.9,15.1662042167271,36,-14.6,7
100,9.8,14.2,5.4,2,67,1620,642,3,34,25.8,34,-13,8.8
124,11,15,7.3,1,64,268,635,2,34.6,28.3637940847082,31,-9.5,7.7
109,9.8,14.1,6.1,2,64,1519,631,3,33.3,22.49584732363,35,-12.8,8
65,8.6,12.7,4.8,2,67,1586,531,3,33.3,29.7,39,-16.2,8.2
481,9.7,13.3,6.5,2,62,1680,1019,2,31.4,53.4591841297923,46,-11.1,6.8
416,7.6,11.3,4.2,3,61,205.155993345659,785,3,31.5,23.4101153152995,43,-18.1,7.2
236,10.4,14.8,6.7,2,68,1757,912,3,34.5,27.3,43,-11.3,8.5
255,10.3,14.6,5.7,1,66,449.72154664062,951,1,33.4,15.3768644367345,44,-12.2,8.8
2,8.9,12.6,5.3,3,66,1193,827,3,31.3,35.2765260877321,33,-12.2,7.3
796,6.8,10.7,3.5,2,67,1702,1575,3,29.5,29,68,-14.5,7.2
523,6.6,10.5,2.9,2,64,1492,708,3,29.5,10.6952799519757,46,-16.6,7.6
394,8.8,12.9,4.9,2,68,1631,971,2,31.5,23.4,48,-13.4,8
852,7,10.8,4,2,61,1233.23061442934,1600,2,28.9,52.657209463371,62,-13.8,6.9
6,9,13,5,2,70,1347,764,3,31.7,27.5,34,-13,8.1
653,6.3,9.4,3.4,3,71,1575,1030,4,27.6,29.8111262986902,40,-14.6,6.4
313,8.3,13.3,3.4,2,65,1504,586,3,33,12.0350516262231,41,-16.6,9.9
242,8.1,12.7,3.8,1,70,1354,647,2,32.2,14.5,33,-17.3,9
47,8.7,13.1,4.2,2,68,1529,559,3,33.2,27.5,31,-17,8.9
719,6.9,12.7,2.4,1,67,1624,1316,1,31.4,17.9,55,-18.3,10.3
13,6.8,3.3,6.88327099005692,2,57,770.975955286995,513,2,20.5,35.2060659053503,34,-17.8,7.3
110,9.9,14.4,5.7,2,67,1617,530,2,33.5,25.2,30,-11.9,8.7
37,10,14,6.2,2,63,1610,746,3,32.8,53.5906853439053,34,-10.1,7.8
190,9.2,13.9,5.2,2,67,1455.00950961839,770,2,32.5,37.5729616318829,33,-14.4,8.7
176,9.8,14.7,5.8,1,65,189.888133299071,1011,2,34.1,24.9552527939202,45,-11.7,8.9
35,9.1,13.4,4.5,2,66,1405,505,3,33.8,25.7,30,-16.2,8.8
311,8.3,12.6,4.5,3,69,1632,612,3,32.8,29.9,42,-16.6,8.2
210,8.9,13,4.5,3,64,802.812000804581,562,3,32.5,20.1289221551968,40,-16.7,8.5
90,10.2,14.8,6,1,64,1573,654,2,34.3,45.9803936575307,38,-13.4,8.8
158,8.6,12.8,4,1,66,1818.23058505123,600,2,31.6,11.0627607033355,31,-16.3,8.9
203,9.2,13.4,5,2,68,1583,624,2,32.9,27.2,33,-13.9,8.4
340,7.9,12.2,3.6,2,66,1648.57235718053,727,2,31.2,13.5372053174768,35,-16.6,8.6
1,8.8,12.5,5.4,2,66,1608,744,3,31.4,49.0853034733562,33,-13,7.1
238,8.4,12.6,4.7,3,68,1724,681,4,32.4,29.5,40,-17.3,8
443,7.5,11.9,3.4,2,65,1636.42188621452,873,2,31.2,19.3600374924252,40,-18.4,8.5
167,8.7,13,4.5,2,70,1500,608,3,32.7,25.8,35,-16,8.5
58,8.4,12.1,4.7,3,68,1486,559,3,31.4,28.6,30,-15,7.4
628,7.2,12,3.2,1,64,1669,1081,2,31.3,22.14667744732,45,-16.8,8.7
27,8.5,12.7,4.4,2,66,1421,678,3,32.1,43.3892971763387,32,-15.1,8.3
608,6.6,9.9,3.7,2,68,323.147192403674,1247,3,28.5,13.5656233359594,49,-14.2,6.2
2,8.3,11.9,4.9,3,65,1692,581,3,31,28.5,32,-14.3,7
2,7.9,11.6,4.8,3,68,1684,1313.8323054465,4,30.3,31,30.3080104379915,-14.7,6.7
12,9.1,11.3,7.1,4,60,1632,505,5,26.9,31.8,34,-8.4,4.2
284,8,12.4,3.5,3.26667078095488,70.7316567166708,241.264246629085,1527.60721044661,5.82051125215366,33.6,4.69717349980492,36.2191420639865,-18.3,8.8
34,8.3,12.2,4.5,3,66,1622,612,3,31.4,29,32,-15.4,7.7
1436,3.4,6.5,0.8,4,68,1571,1444,5,25.6,39.6,65,-17.3,5.7
1307,3.4,7.1,0.8,3,67,1673,1301,4,26.3,18.9,56,-18,6.3
913,4.1,6.9,1.4,4,75,1405,1864.39380101277,5,26.1,24.3336972475052,73.6515136344824,-16,5.5
56,8.9,12.2,4.6,3,69,1356,452,4,32.4,29,34,-15.1,7.6
492,8,12.6,3.7,1,64,1205.62615362322,1054,2,31.7,28.1999672981445,44,-16.8,8.9
30,7.9,12.4,4.3,4.38785317726433,78.868204862345,634.131407794543,1403.82605119771,4.28095693932846,32.6,25.1031699840212,63.3539146033581,-17,8
72,9.1,13.3,5.3,2,66,1155,758,3,32.6,21.1118444848806,35,-13,8
93,9,13.3,5.2,2,59,1328,454,3,32.8,23.6,34,-14.6,8.1
102,9.2,13.3,5.4,2,62,1709,482,2,33.1,47.5574073903961,36,-14.7,8
328,8.8,13.3,4.4,2,69,1212.37550422689,790,2,31.9,26.7829565732507,36,-14.2,8.9
35,8.4,12.9,4.7,2,71,1655,711,3,33,30.7551261183806,34,-13.9,8.2
11,8.9,12.7,5,3,69,1569,756,4,32,27.5,35,-14,7.7
2,9,12.9,5.1,2,65,591.40900563309,679,3,32.3,52.4740882612066,32,-13.6,7.8
3,9.4,13.1,5.7,2,68,346.47780616628,720,3,32.5,42.9168728751363,35,-12.8,7.4
47,9.4,12.6,6.3,3,68,1499,752,4,31.3,33.2,32,-10.8,6.3
18,9,12.6,5.6,2,69,1387,790,3,31.6,14.3482556025963,34,-12.2,7
68,9.3,13.3,5.4,2,69,1444.1152802296,720,2,32.2,25.5,34,-13.6,7.8
108,8.3,12.7,4.3,2,69,172.776345471386,709,3,32,19.3937350527383,36,-15.3,8.4
55,9.1,13.3,5.1,3,69,1558,649,3,32.4,27.7,34,-14.6,8.2
404,6.9,11.2,2.8,2,66,1489,590,3,30.6,27.2,36,-17.8,8.5
648,7.3,11.4,3.9,2,61,1586,1406,2,31,52.8527937371517,68,-14.1,7.5
522,8.3,13.2,3.7,1,62,1702,803,2,32.7,33.3374547216343,44,-16.2,9.5
10,8.4,12,4.9,2,66,861.674110737629,849,3,30.6,42.2215930813225,36,-13.4,7.1
110,10.6,14.7,7,2,65,1514,753,2,34.3,22.6218244188465,37,-11.2,7.7
561,7.5,10.8,4.6,2,66,1744,930,3,29.4,42.6442925169365,48,-14,6.3
498,7.4,12.2,2.8,1,67,1285,817,2,31.5,30.9526977439644,38,-19.5,9.4
496,7.5,11.3,4.4,2,67,1484,839,2,29.7,49.9567702080356,42,-13.9,6.8
167,9.9,14.5,5.7,2,62,944.239078977145,721,2,34,13.1574703156482,37,-12.9,8.8
57,10.2,14.3,6.1,2,68,1107.57961880136,693,3,33.3,18.0520300779725,34,-10.8,8.2
4,8.9,10.8,7.1,4,67,1715,726,5,24.3,34.9,33,-5.3,3.7
140,8.7,12.7,4.8,2,66,1556,612,3,32.6,8.5956018660916,34,-14.3,7.9
2,8.4,12,5.1,3,63,1531,795,3,30,20.8,34,-13.2,6.9
77,9.1,13.4,5.3,2,69,1500,795,2,32.7,14.4295974949608,36,-13,8.1
215,8,12.4,3.9,2,70,614.392255424988,652,2,32.5,53.1434993124101,37,-16.8,8.5
344,7.7,11.6,4.1,2,78,258,700,3,31.3,23.1,40,-16.8,7.6
302,8.2,13.2,3.5,2,65,901.979660149664,707,3,32.1,18.7632598567987,34,-15.4,9.6
272,8.6,13.2,4.2,2,70,1415,694,2,33,24.6,35,-15.6,9
60,10.3,14.3,6.3,1,71,1761.95868556481,940,2,33.3,40.4621428586077,38,-11,8
1,8.6,11.9,6.3,3,63,891.437825173605,596,4,29.5,43.4772356299916,35,-10.8,5.6
117,9,13,5.1,2,65,1643.58651003707,673,3,31.9,9.12359617901966,36,-15,7.9
295,8.7,12.9,4.8,2,64,1688.0528930393,994,2,32,15.8995287662372,38,-14.1,8
385,6.8,11,2.8,2,75,1372,851,3,30.9,17.4625160555122,45,-18.6,8.5
403,6.9,11.8,2.6,1,65,1123.72477736464,859,2,31.4,8.90345395037439,41,-20.4,9.2
270,8.1,12.9,3.9,2,70,1659,626,2,32.2,24.2,43,-18.9,9
474,7.2,11.5,2.8,2,70,758.133327475283,693,2,31.8,9.75464898413047,35,-20.2,8.6
565,6.6,10.9,2.9,2,69,1593,718,3,30.9,27.2,36,-18.4,8
242,7.8,11.9,3.9,1,71,1230,802,2,31.1,53.8574460707139,37,-18.1,8
263,8.5,13.1,3.9,2,63,271.536799474154,640,2,33,53.5957420138409,32,-17,9.2
977,6.3,10.2,3.3,3,66,1816,1046,4,28.4,38.5,46,-15.8,6.9
10,8.3,11.7,4.3,3,67,1523,780,3,31,28.8,33,-14.2,7.4
8,8.9,12.1,5.7,2,60,1726.56343683647,684,3,30,10.7219073056011,34,-10.9,6.4
685,7.3,12.4,3.1,2,65,556.068549352698,1304,3,31.4,49.5181338740047,52,-16.4,9.3
110,9,13.4,5,2,69,1107,766,3,32.5,32.9032427974278,34,-13.9,8.3
250,8.3,12.8,4.1,1,69,112.090175080579,735,2,31.5,23.770167383668,34,-16.3,8.8
235,9,13.9,4.6,1,64,1749.50393130956,865,2,33.1,26.5150254485896,38,-14.1,9.3
1119,4.7,8.2,2.2,3,70,1544,1995,4,27,39.4783460080624,76,-15.7,6.1
438,7.4,12.5,2.3,2,64,1619,810,2,31.5,7.96638866241556,42,-22,10.2
328,8.8,12.5,5.4,2,69,1330.22072075121,792,2,30.7,20.9352852991549,37,-10.9,7.1
3,8,11.5,4.7,3,67,1572,788,4,30.3,27.8,35,-13.5,6.8
260,7.5,11.7,3.6,3.86316700978205,71.0812333796639,262.675269673578,1109.62491705944,4.97390585206449,32.6,38.1797713364474,66.7667245464399,-16.8,8
360,8.4,13.3,3.6,1,63,1673,659,2,33.8,19.8059370280942,36,-17.8,9.7
230,8.7,12.7,4.8,2,63,1304,921,2,31.3,45.7942142014625,38,-14.6,7.9
155,8.8,13.7,4.5,2,68,1461,580,2,33.5,15.5,35,-17.6,9.2
77,9,14.3,5.6,2,64,1013.97947509866,537,3,35.1,14.666190173896,31,-14.5,8.7
7,8.5,12.3,5.1,3,66,1556,784,4,30.7,30.1,34,-12.5,7.1
1,8.2,12.6,4.4,2,66,1496,721,3,31,26.2,34,-15.1,8.1
91,10.1,14.5,6.2,2,67,1558,700,3,33.2,27.8,32,-11.1,8.3
75,8.5,13.2,4.4,1,60,1697,555,2,32.7,28.9464212774299,37,-16.4,8.7
107,9.6,14.6,5.2,2,67,1761.25242637517,678,2,34.3,17.7405084676109,33,-13.4,9.4
839,5.1,8.2,2.5,4,75,1380,1422,4,27.3,33.6,47,-14.9,5.8
271,8.9,13.4,4.7,2,69,1383,681,2,32.3,22.7,32,-14.1,8.7
516,7.3,12.1,3.2,2,65,1080.80226985831,766,2,31.2,13.4971775956918,36,-16.6,8.9
505,7.6,11.6,4.1,2,70,1530,812,3,30.2,27,38,-13.9,7.5
487,6.8,10.6,2.9,2,72,1427,749,3,29.3,27.5,35,-17.9,7.7
270,8.4,12.1,4.5,1.51462341332808,72.296200767858,746.725980105344,706,2.03019096329808,32.1,51.8063738347962,38,-17.7,7.6
374,7.6,13.1,2.5,2,68,1528,683,2,32.1,20.0471396572655,40,-20.1,10.5
112,10.2,14.6,6,2,66,1734,794,3,33.6,27.9,40,-13.6,8.6
231,9.1,13.2,5.4,2,70,1482,685,2,32.5,24.1,35,-13.5,7.8
198,8.6,12.5,4.8,2,73,1418,620,3,31.8,27.9620473820949,32,-14.4,7.7
716,7.2,12,2.6,2,68,1196.01136283716,1124,2,31,10.8,56,-18.4,9.4
585,8.1,12.5,4.1,1,68,1518,980,2,31.6,5.21362488281447,50,-16.4,8.5
705,7.2,12.5,2.7,2,66,1751,1238,2,31,24.2,52,-20.1,9.8
27,9.3,12.9,5.9,3,66,1555,733,3,30.2,28.6,38,-10,7
17,8.1,11.3,5.2,3,68,1609,729,3,29.9,26.7,33,-12.5,6.7
12,8.4,12,5.4,3,63,590.38885915326,547,4,31.5,31.4467031346401,35,-12,6.6
282,8.5,13.4,4.1,2,68,1520,700,2,33.5,22.8,33,-15.2,9.3
188,9.4,14.3,4.9,2,63,568.051140061114,580,2,35,36.3341311374214,32,-13.9,9.3
